,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
120,833,0,275,0,0.647473399491627,3,7
121,846,0,262,0,0.6596012482954665,3,7
122,864,0,244,0,0.667595706811925,3,7
123,876,1,229,2,0.6787985499659811,3,7
124,884,3,220,1,0.685806245948213,3,7
125,907,0,200,1,0.6906854890272908,3,7
126,917,1,190,0,0.7058516082993755,3,7
127,931,0,177,0,0.7122282004974534,3,7
128,946,0,162,0,0.7213138229880898,3,7
129,956,0,152,0,0.7307761983423574,3,7
130,968,0,140,0,0.7369998981441012,3,7
131,984,1,123,0,0.7443319323570244,3,7
132,1005,1,102,0,0.7535992072790074,3,7
133,1020,1,87,0,0.765175124012154,3,7
134,1034,1,73,0,0.7726878331469355,3,7
135,1039,4,64,1,0.7790417322405551,3,7
136,1022,23,54,9,0.7804409193282078,3,7
137,935,104,56,12,0.7680849824048652,3,7
138,688,313,73,33,0.7033539702933364,3,7
139,616,365,107,17,0.5147172727138114,3,7
140,632,314,136,22,0.47097387068525115,3,7
141,625,305,158,15,0.4875554786785553,3,7
142,638,256,194,14,0.4869776369318825,3,7
143,639,239,211,11,0.5027900823329537,3,7
144,648,200,230,19,0.5072115115200004,3,7
145,644,182,255,14,0.5179509091674409,3,7
146,655,141,279,18,0.5203046772957427,3,7
147,671,112,300,10,0.5330546475484316,3,7
148,698,68,314,12,0.5481989312776211,3,7
149,708,48,331,5,0.5705484037414517,3,7
150,726,25,331,10,0.5808967326148177,3,7
151,757,3,328,4,0.5941700918726486,3,7
152,768,2,321,1,0.616885061679716,3,7
153,779,1,312,0,0.6240058842064736,3,7
154,797,2,292,1,0.6308344759490323,3,7
155,811,1,279,1,0.6412070239457756,3,7
156,828,1,262,1,0.6498533127664843,3,7
157,841,0,251,0,0.6602729659072356,3,7
158,850,0,241,1,0.6686952213152028,3,7
159,864,0,227,1,0.6741438052876217,3,7
160,873,1,218,0,0.6829616508266348,3,7
161,894,1,197,0,0.6886644144636216,3,7
162,911,3,178,0,0.7020354472505822,3,7
163,927,2,162,1,0.7125074742040934,3,7
164,939,0,151,1,0.7226274765767869,3,7
165,959,0,132,0,0.7307335225982495,3,7
166,976,1,114,0,0.7430228876853986,3,7
167,990,1,99,1,0.7526057967820815,3,7
168,1000,0,90,1,0.7599503630704422,3,7
169,994,14,81,2,0.7651548527723072,3,7
170,966,45,71,9,0.7594912452019357,3,7
171,903,98,74,16,0.7374460141558598,3,7
172,704,265,86,34,0.6878212002907309,3,7
173,643,308,119,18,0.5352252030478023,3,7
174,652,269,145,21,0.49767192285417905,3,7
175,637,262,174,13,0.5090410198127645,3,7
176,651,213,208,14,0.5039858436652574,3,7
177,646,201,227,11,0.5199624171926771,3,7
178,659,155,252,18,0.5201721268910372,3,7
179,668,133,269,13,0.534239195005526,3,7
180,692,82,295,12,0.5440842839051572,3,7
181,737,41,290,12,0.5668540344451304,3,7
182,762,14,301,3,0.5997353788866757,3,7
183,780,6,294,0,0.6207235721500636,3,7
184,800,1,278,1,0.6333745258115315,3,7
185,811,0,269,0,0.6461651622739141,3,7
186,820,0,260,0,0.6532542349489074,3,7
187,828,1,250,1,0.6588068535101941,3,7
188,842,2,236,0,0.663417088814172,3,7
189,857,0,222,1,0.6721797611381399,3,7
190,869,2,209,0,0.6818300734704137,3,7
191,886,1,192,1,0.6892744646356626,3,7
192,899,0,180,1,0.7001103063163608,3,7
193,916,0,163,0,0.7085686095752725,3,7
194,930,0,149,0,0.7197651498233275,3,7
195,931,9,139,0,0.7284644499392106,3,7
196,936,10,129,4,0.7274672080784763,3,7
197,938,15,120,6,0.7296248368970838,3,7
198,895,64,109,11,0.7295837739102908,3,7
199,838,109,119,13,0.6930536825788378,3,7
200,725,205,129,20,0.6484524162469472,3,7
201,645,253,156,24,0.5622899375031843,3,7
202,650,230,175,22,0.5092073020437913,3,7
203,654,202,202,18,0.516520073744574,3,7
204,654,185,220,16,0.5245657435046953,3,7
205,660,160,234,20,0.5281456447976537,3,7
206,669,131,257,17,0.5353136349075824,3,7
207,674,110,269,20,0.5459181407588739,3,7
208,701,71,285,15,0.5520539273365666,3,7
209,731,39,294,7,0.5750692693573486,3,7
210,767,5,298,1,0.5994932737320013,3,7
211,783,1,287,0,0.627762857889305,3,7
212,798,0,272,1,0.6382659694618684,3,7
213,812,0,259,0,0.6473976514560676,3,7
