,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
48,678,184,251,8,0.5326705584098542,9,1
49,682,175,250,13,0.533380515119811,9,1
50,684,174,250,10,0.5363605118381364,9,1
51,675,173,252,17,0.5384681524958033,9,1
52,675,166,267,8,0.532839742832958,9,1
53,671,155,277,11,0.5358491733381661,9,1
54,680,143,278,12,0.5355103852496812,9,1
55,679,129,289,16,0.5423684262642798,9,1
56,686,117,297,13,0.5436153386429894,9,1
57,687,100,309,16,0.5499826068536043,9,1
58,707,85,308,9,0.5531749468433771,9,1
59,722,61,315,11,0.5683620552235636,9,1
60,726,59,307,16,0.5804516982485217,9,1
61,724,47,323,14,0.5823165969458988,9,1
62,727,44,326,11,0.583699044105868,9,1
63,735,25,334,14,0.5864183162334635,9,1
64,764,3,336,2,0.5936914145564627,9,1
65,780,0,324,1,0.6167191583283423,9,1
66,798,1,305,1,0.6266591503625548,9,1
67,807,1,297,0,0.6370292276186544,9,1
68,821,0,284,0,0.6425456641758511,9,1
69,832,3,265,5,0.6511135916554093,9,1
70,847,1,253,4,0.6563574935713286,9,1
71,855,2,235,13,0.6660734956402508,9,1
72,869,1,228,7,0.6692392056458214,9,1
73,888,0,213,3,0.6791918488175593,9,1
74,908,0,195,1,0.6922822953378163,9,1
75,924,4,176,0,0.7052713000208914,9,1
76,892,36,156,19,0.7148364822289428,9,1
77,755,166,160,20,0.6858524074385937,9,1
78,673,236,176,16,0.5803171416672607,9,1
79,662,230,195,11,0.5235386086924514,9,1
80,674,208,201,15,0.5201970289843438,9,1
81,678,197,212,10,0.5297458019191285,9,1
82,676,191,217,13,0.5348967601329079,9,1
83,675,182,226,14,0.5343614510189113,9,1
84,681,172,229,15,0.5352481437042276,9,1
85,677,168,237,13,0.540051564747172,9,1
86,673,160,248,13,0.5393360803704024,9,1
87,680,146,260,8,0.5387986804561408,9,1
88,679,139,264,12,0.5459160380798521,9,1
89,686,123,272,12,0.5459121468874265,9,1
90,677,121,283,11,0.5527006197625307,9,1
91,677,109,291,14,0.5485744845497642,9,1
92,693,89,292,16,0.5503532675170816,9,1
93,694,80,299,15,0.562381497477156,9,1
94,706,59,309,11,0.5650819504360985,9,1
95,734,24,317,9,0.5766968235257028,9,1
96,753,4,322,5,0.5991625487403656,9,1
97,767,0,317,0,0.6143074474499478,9,1
98,783,0,301,0,0.6240484212986717,9,1
99,800,0,283,1,0.6334841498433508,9,1
100,814,0,270,0,0.6434815570233745,9,1
101,831,1,252,0,0.6521508509333361,9,1
102,846,1,237,0,0.6624134708455575,9,1
103,862,0,222,0,0.6717307999574992,9,1
104,875,1,202,6,0.6819363591336939,9,1
105,885,0,191,8,0.6888902040416915,9,1
106,905,0,178,1,0.6950327427789278,9,1
107,887,25,161,11,0.7088985477021397,9,1
108,790,101,162,31,0.6913274486832335,9,1
109,684,212,178,8,0.6142267605130277,9,1
110,674,199,186,22,0.5385861908379277,9,1
111,670,202,200,7,0.5331768102387211,9,1
112,679,178,200,22,0.5335180724187704,9,1
113,679,184,206,10,0.5399840058947468,9,1
114,664,170,229,15,0.541048940959682,9,1
